SETOR,LOCALIZACAO,CODIGO,QTD,ALMOXARIFADO
PERFIL,,134170,"275,728",Almox Central
PERFIL,,134171,"32,5",Almox Central
PERFIL,,134172,"141,615",Almox Central
PERFIL,,134181,"19,4",Almox Central
PERFIL,,134183,"122,64",Almox Central
PERFIL,,134194,"78,37",Almox Central
PERFIL,,134196,105,Almox Central
PERFIL,,134200,"8,84",Almox Central
PERFIL,,134212,321,Almox Central
PERFIL,,134223,"147,03",Almox Central
PERFIL,,134224,"266,457",Almox Central
PERFIL,,134272,"39,21",Almox Central
PERFIL,,134326,20,Almox Central
PERFIL,,134339,"91,83",Almox Central
PERFIL,,134375,"799,687",Almox Central
PERFIL,,134388,594,Almox Central
PERFIL,,134399,6,Almox Central
PERFIL,,134430,"223,74",Almox Central
PERFIL,,134491,"210,37",Almox Central
PERFIL,,134510,15,Almox Central
PERFIL,,134522,284,Almox Central
PERFIL,,134625,"302,561",Almox Central
PERFIL,,134627,"45,9",Almox Central
PERFIL,,134686,102,Almox Central
PERFIL,,134687,78,Almox Central
PERFIL,,134688,12,Almox Central
PERFIL,,134690,"16,5",Almox Central
PERFIL,,134691,36,Almox Central
PERFIL,,134692,54,Almox Central
PERFIL,,134693,6,Almox Central
PERFIL,,134716,221,Almox Central
PERFIL,,134789,"275,4",Almox Central
PERFIL,,134790,242,Almox Central
PERFIL,,134855,"102,52",Almox Central
PERFIL,,134892,"956,34",Almox Central
PERFIL,,134900,"468,032",Almox Central
